,beta.Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),se.Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),pval.Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),beta.Ovarian cancer,se.Ovarian cancer,pval.Ovarian cancer,beta.Cancer of skin,se.Cancer of skin,pval.Cancer of skin,beta.Cancer of digestive organs,se.Cancer of digestive organs,pval.Cancer of digestive organs,"beta.Cancer code, self-reported: malignant melanoma","se.Cancer code, self-reported: malignant melanoma","pval.Cancer code, self-reported: malignant melanoma"
count,227.0,227.0,227.0,227.0,227.0,227.0,228.0,228.0,228.0,228.0,228.0,228.0,186.0,186.0,186.0
mean,0.010869603524229074,0.008592951541850219,0.1317461018583564,0.004011148458149778,0.01810242290748898,0.4437060920138227,0.00024614976491228074,0.0006705509824561408,0.2528607695187141,5.809752456140336e-06,0.0004007872061403508,0.4504756122817198,8.069451698924733e-05,0.00022000076881720414,0.40651615831421567
std,0.06973507961279728,0.004190469973044377,0.24805364131329896,0.04866682080651088,0.008580103029529952,0.32783235124364285,0.0038537938989885822,0.00029830150298796806,0.2999704900301912,0.0007121116806338756,0.00017829484530388224,0.29680565740695947,0.0006072120466727805,3.802430562672926e-05,0.31745709196597954
min,-0.1317,0.0061,9.999999999999995e-201,-0.2133,0.013130000000000001,5.53478e-39,-0.0118086,0.00048825400000000003,2.8516699999999996e-80,-0.00182377,0.000291819,4.2301900000000005e-10,-0.00247048,0.000177375,5.00035e-40
25%,-0.04245,0.0065,8.234195e-14,-0.011405,0.013785,0.1232,-0.000936113,0.000511025,2.0444375e-08,-0.000308609,0.00030542825,0.18248675,-0.00017472725,0.0001883415,0.09099990000000001
50%,0.0046,0.0071,1.493e-09,0.002601,0.01517,0.45210100000000003,-0.000151656,0.000570533,0.09703965,-2.557805e-05,0.000340996,0.4494435,9.9709e-06,0.00020584599999999998,0.375
75%,0.04685,0.00905,0.0782098,0.01376,0.019045,0.7634505,0.0009663162499999999,0.0007399010000000001,0.46756675,0.0002557805,0.00044226300000000003,0.6795972499999999,0.00021028175000000003,0.00024009000000000001,0.719999
max,0.4256,0.0373,0.9844,0.37,0.07393999999999999,0.9823,0.0192692,0.00253847,0.984355,0.00781074,0.00151718,0.9912280000000001,0.00404767,0.000311078,1.0
